Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills,T5-Kills,Dead Troops,Governor ID,exactName,Power,T4-Kills Gained,T5-Kills Gained,Dead Troops Gained
134399475,ᴮᴴ traveler,84.822.546,22.361.627,283.655,2.943.441,134399475,ᴮᴴ traveler,83.841.170,22.361.627,283.655,2.943.441,134399475,ᴮᴴ traveler,83.841.170,0,0,0
107421973,ᴮᶠSnake,64.650.369,64.315.490,7.704.501,4.391.145,134402573,ᴮᴴPokemeDad,78.733.652,56.183.934,652.591,4.398.447,134402573,ᴮᴴPokemeDad,78.733.652,30.514.279,8.192.498,4.421.213
134402573,ᴮᴴPokemeDad,61.145.328,86.698.213,8.845.089,8.819.660,58136247,Revølutiøn,62.070.112,8.202.357,5.131.979,10.624.065,58136247,Revølutiøn,62.070.112,11.263.853,1.252.067,966.575
134627056,亗RËD亗,56.381.177,14.856.761,1.654.508,834.149,59363442,ɖąɱɱıʂ,59.813.741,23.987.086,2.916.983,4.543.720,59363442,ɖąɱɱıʂ,59.813.741,16.419.035,1.987.402,1.013.524
59363442,ɖąɱɱıʂ,54.853.680,40.406.121,4.904.385,5.557.244,13183281,Kɩɭɭɘʀ,52.527.022,10.755.026,4.500.148,7.510.608,13183281,Kɩɭɭɘʀ,52.527.022,13.209.443,1.963.057,592.543
133775709,ferngarcia3,54.768.931,9.376.202,903.402,1.591.592,107421973,ᴮᶠSnake,47.131.643,56.109.025,6.402.115,3.859.103,107421973,ᴮᶠSnake,47.131.643,8.206.465,1.302.386,532.042
13183281,Kɩɭɭɘʀ,53.931.977,23.964.469,6.463.205,8.103.151,134627056,亗RËD亗,46.697.658,4.950.585,80.061,293.968,134627056,亗RËD亗,46.697.658,9.906.176,1.574.447,540.181
134628502,ᴮᴹEnfluenza,53.804.451,1.798.904,379.046,976.119,133775709,ferngarcia3,44.646.142,7.052.893,162.734,1.524.810,133775709,ferngarcia3,44.646.142,2.323.309,740.668,66.782
58136247,Revølutiøn,53.395.317,19.466.210,6.384.046,11.590.640,134345532,ᴮᴴAhye,42.473.280,11.642.004,50.112,963.512,134345532,ᴮᴴAhye,42.473.280,19.601.809,1.142.014,400.443
134345532,岁月静好,49.692.422,31.243.813,1.192.126,1.363.955,115366928,SmooveMoover,40.075.532,11.250.888,1.146.013,2.625.544,115366928,SmooveMoover,40.075.532,7.497.125,768.543,152.669
115579074,ᴮᴴAllyfrt,45.663.623,20.151.169,1.934.279,2.220.494,115579074,ᴮᴴAllyfrt,38.687.158,11.602.373,1.121.359,1.808.707,115579074,ᴮᴴAllyfrt,38.687.158,8.548.796,812.920,411.787
115366928,SmooveMoover,42.186.278,18.748.013,1.914.556,2.778.213,130096377,ᵛᶰメ Hoang,38.193.035,5.537.808,411.193,1.452.009,130096377,ᵛᶰメ Hoang,38.193.035,Migrated,,
133723085,AONsonicZ,40.811.133,5.934.496,221.868,206.256,133723085,AONsonicZ,37.243.643,4.099.508,3.927,181.276,133723085,AONsonicZ,37.243.643,1.834.988,217.941,24.980
133760613,ᴮᴴ Shinnow,38.753.377,7.763.885,230.020,1.013.571,92592741,ᴮᴹ Dave,36.941.902,579.553,318.299,1.313.312,92592741,ᴮᴹ Dave,36.941.902,0,0,0
133842685,ᴮᴴJonwho,38.557.689,5.249.288,744.040,798.104,112419789,ᶜʰ Дед,36.121.422,22.430.931,2.361.507,1.591.818,112419789,ᶜʰ Дед,36.121.422,5.801.606,1.068.135,335.334
92592741,ᴮᴹ Dave,38.382.672,579.553,318.299,1.313.312,118296876,Hoàng Khan,35.593.898,5.178.879,914.276,1.892.891,118296876,Hoàng Khan,35.593.898,2.092.912,489.332,579.272
112419789,ᶜʰ Дед,36.442.333,28.232.537,3.429.642,1.927.152,52333130,Victorious Vic,35.267.118,7.355.231,496.950,3.741.160,52333130,Victorious Vic,35.267.118,2.355.636,718.456,127.229
118296876,Hoàng Khan,36.183.707,7.271.791,1.403.608,2.472.163,133760613,ᴮᴴ Shinnow,35.181.718,6.983.473,59.604,942.441,133760613,ᴮᴴ Shinnow,35.181.718,780.412,170.416,71.130
52333130,ᴮᴴ Vic,35.866.997,9.710.867,1.215.406,3.868.389,122735502,亗Daury亗,33.729.523,13.511.813,1.826.694,2.145.271,122735502,亗Daury亗,33.729.523,3.378.041,277.828,315.908
117892970,MAJCHER,35.769.865,2.027.985,766.739,791.057,117892970,MAJCHER,32.429.395,1.578.882,576.672,704.926,117892970,MAJCHER,32.429.395,449.103,190.067,86.131
134499531,社WhereIsJESUS,34.611.793,13.167.712,426.464,1.966.955,133716941,ᴮᴴumbr,32.051.687,7.092.716,154.850,858.838,133716941,ᴮᴴumbr,32.051.687,1.052.384,183.493,641.272
134217749,ᴼᵖ HanCock,34.583.985,25.164.794,612.063,1.164.257,134251958,ᴮᴴNatiJP,31.691.137,35.445.228,302.733,1.071.649,134251958,ᴮᴴNatiJP,31.691.137,16.780.433,173.275,13.822
